ESTADO;MUNICÍPIO;FAZENDA;NÚMERO DA MATRIZ;DATA DE NASCIMENTO;DATA DE ENTRADA NA FAZENDA;DATA DE APTIDÃO;RAÇA DA MATRIZ;DATA DE BAIXA;TIPO DE BAIXA;MOTIVO DE BAIXA;GANHO DE PESO NASCIMENTO A DESM;PROPRIETÁRIO;IDSEMEN PAI;NÚMERO PAI;IDSEMEN AVÔ MATERNO;NÚMERO AVÔ MATERNO;DATA DO ÚLTIMO PARTO;TIPO DE PARTO;ORDEM DE PARTO;RETENÇÃO DE PLACENTA;GEMELAR ÚLTIMO PARTO;SEXO CRIA 1 - ÚLTIMO PARTO;SEXO CRIA 2 - ÚLTIMO PARTO;PESO AO PARTO;ECC NA SECAGEM;ECC ÚLTIMO PARTO;DATA DO SERVIÇO;TIPO DO SERVIÇO;INSEMINADOR;CONDIÇÃO DE IA;PROTOCOLO;REPRODUTOR;IDSEMEN REPRODUTOR;TIPO DE SÊMEN;RAÇA DO REPRODUTOR;ORDEM DE TENTATIVA;INTERVALO ENTRE TENTATIVAS;Tº RETAL IA/IATF;SETOR NA TENTATIVA;DATA DO DIAGNOSTICO;DIAGNÓSTICO;DATA DA PERDA DE PRENHEZ;TIPO DA PERDA DE PRENHEZ;CCS NO PRIMEIRO MÊS PÓS PARTO;CCS;PRODUÇÃO LACTAÇÃO ANTERIOR;DURAÇÃO DA LACTAÇÃO ANTERIOR (D;PERIODO SECO ANTERIOR (DIAS);PRODUÇÃO DE LEITE;DOENÇA NA LACTAÇÃO;ESCORE;CL INÍCIO PROTOCOLO;PEV;PARTO_REAL;TIPO_PARTO_REAL;SEXO CRIA 1 - ÚLTIMO PARTO REAL;SEXO CRIA 2 - ÚLTIMO PARTO REAL;DATA DE INÍCIO DA PRIMEIRA LACT;DATA DE TÉRMINO DA PRIMEIRA LAC;PRODUÇÃO TOTAL NA PRIMEIRA LACT;
;;Fazenda Estreito Ponte de Pedra;01;01/11/2024;27/04/2026;01/11/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;01/03/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;02;25/10/2024;27/04/2026;25/10/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;25/02/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;04;27/02/2025;27/04/2026;27/02/2026;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;10/05/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;COORS;;C;Holandês;1;;;Principal - Leite;12/06/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;06;10/11/2024;27/04/2026;10/11/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;10/03/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;068;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;15/07/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;15/08/2025;POSITIVO;;;;;;;;;0;;0;45;18/04/2026;Natimorto;M;;18/04/2026;;3960;
;;Fazenda Estreito Ponte de Pedra;070;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;15/07/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;15/08/2025;POSITIVO;;;;;;;;;0;;0;45;10/06/2026;Normal;M;;10/06/2026;;0;
;;Fazenda Estreito Ponte de Pedra;075;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;28/05/2025;Inseminação Artificial;;PROTOCOLO IATF;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;22/02/2026;Natimorto;F;;22/02/2026;;3978;
;;Fazenda Estreito Ponte de Pedra;075;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;22/02/2026;Natimorto;1;0;NÃO;F;;;;;10/05/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;COORS;;C;Holandês;1;;;Principal - Leite;12/06/2026;NEGATIVO;;;;;;;;3978;0;;0;45;;;;;22/02/2026;;3978;
;;Fazenda Estreito Ponte de Pedra;08;27/02/2025;27/04/2026;27/02/2026;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;23/06/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;HAGEN;;S;Holandês;1;;;Principal - Leite;;ABERTO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;09;27/02/2025;27/04/2026;27/02/2026;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;10/05/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;COORS;;C;Holandês;1;;;Principal - Leite;06/06/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;090;01/11/2024;27/04/2026;01/11/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;01/03/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;107;30/09/2024;27/04/2026;30/09/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;30/01/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;108;01/06/2024;27/04/2026;01/10/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;22/11/2025;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;30/05/2026;ABORTO;;;;;;;0;;0;45;30/05/2026;Aborto;;;;;;
;;Fazenda Estreito Ponte de Pedra;113;01/05/2024;27/04/2026;01/05/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;05/03/2026;Cobertura;;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;N. INF;;;Girolando;1;;;Principal - Leite;29/04/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;13/05/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;1;;;Principal - Leite;12/07/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;12/07/2025;Inseminação Artificial;CARLOS ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;2;60;;Principal - Leite;31/07/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;31/07/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;3;19;;Principal - Leite;20/08/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;20/08/2025;Cobertura;;CIO NATURAL;;N. INF;;;Holandês;4;20;;Principal - Leite;20/10/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;20/10/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;DESCONHECIDO 0;;C;Girolando;5;61;;Principal - Leite;20/01/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;20/01/2026;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;6;92;;Principal - Leite;10/02/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;10/02/2026;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;7;21;;Principal - Leite;22/03/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1234;27/02/2024;21/06/2026;26/02/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;22/03/2026;Cobertura;;CIO NATURAL;;N. INF;;;Holandês;8;40;;Principal - Leite;05/05/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1245;17/03/2024;21/06/2026;17/03/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;30/07/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;1;;;Principal - Leite;19/08/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1245;17/03/2024;21/06/2026;17/03/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;19/08/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;2;20;;Principal - Leite;04/10/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1245;17/03/2024;21/06/2026;17/03/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;04/10/2025;Inseminação Artificial;CARLOS ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;DESCONHECIDO 0;;C;Girolando;3;46;;Principal - Leite;18/11/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1245;17/03/2024;21/06/2026;17/03/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;4;45;;Principal - Leite;09/01/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1247;19/03/2024;21/06/2026;19/03/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;04/10/2025;Inseminação Artificial;CARLOS ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;23/12/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1247;19/03/2024;21/06/2026;19/03/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;23/12/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;2;80;;Principal - Leite;10/02/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1247;19/03/2024;21/06/2026;19/03/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;10/02/2026;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;3;49;;Principal - Leite;19/03/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1258;29/04/2024;21/06/2026;29/04/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;26/09/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;18/11/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1258;29/04/2024;21/06/2026;29/04/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;2;53;;Principal - Leite;09/01/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;126;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;;;0;;;;;;;;27/03/2025;Inseminação Artificial;;PROTOCOLO IATF;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;28/06/2025;POSITIVO;;;;;;;;;0;;0;45;06/01/2026;Normal;F;;06/01/2026;;5506;
;;Fazenda Estreito Ponte de Pedra;126;28/02/2024;30/12/2025;27/02/2025;Girolando;;;;;JAIRO NASSER QUINTILIANO DA SILVA;;;;;06/01/2026;Normal;1;0;NÃO;F;;;;;09/03/2026;Inseminação Artificial;LEOMIR BONFIM;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;A.R.K. STARGAZER MES;;C;Girolando;1;;;Principal - Leite;10/04/2026;POSITIVO;;;;;;;;5506;0;;0;45;;;;;06/01/2026;;5506;
;;Fazenda Estreito Ponte de Pedra;1260;10/05/2024;21/06/2026;10/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;01/08/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;1;;;Principal - Leite;20/08/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1260;10/05/2024;21/06/2026;10/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;20/08/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;2;19;;Principal - Leite;18/11/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1260;10/05/2024;21/06/2026;10/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;3;90;;Principal - Leite;20/01/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1260;10/05/2024;21/06/2026;10/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20098227;LYCASPER;;;;;0;;;;;;;;20/01/2026;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;4;63;;Principal - Leite;26/02/2026;POSITIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1261;21/05/2024;21/06/2026;21/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;09/10/2025;Inseminação Artificial;;CIO NATURAL;;DESCONHECIDO 0;;C;Girolando;1;;;Principal - Leite;18/11/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1261;21/05/2024;21/06/2026;21/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;18/11/2025;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;2;40;;Principal - Leite;12/12/2025;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1261;21/05/2024;21/06/2026;21/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;12/12/2025;Inseminação Artificial;;CIO NATURAL;;VICTINHO;;C;Holandês;3;24;;Principal - Leite;20/01/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
;;Fazenda Estreito Ponte de Pedra;1261;21/05/2024;21/06/2026;21/05/2025;Holandês;;;;;HELIO RODARTE E SILVA;20092734;KNIGHT;;;;;0;;;;;;;;20/01/2026;Inseminação Artificial;THIAGO ALPHA ABS;PROTOCOLO IATF;PROTOCOLO IATF D0 A D11;VICTINHO;;C;Holandês;4;39;;Principal - Leite;12/02/2026;NEGATIVO;;;;;;;;;0;;0;45;;;;;;;;
