Item;Classificação;Produto/Serviço;UN;Preço unitário;Qtde;Vlr. da compra;Valor da compra acumulado;% sobre valor total acumulado;% sobre valor total;
1;A;Novilha;cab;9596,41;87;834888;834888;49,02;49,02;
2;A;Serviços de construção;un;33050,42;4;132201,69;967089,69;56,79;7,76;
3;A;RACAO TECK MILK 24% S/U F 30KG;un;58,28;1633;95175,53;1062265,22;62,37;5,59;
4;A;Salário;un;2566,13;37;94946,78;1157212;67,95;5,58;
5;A;Terraplanagem;un;42000;1;42000;1199212;70,42;2,47;
6;A;RACAO MILK PROTEICO F 30KG;un;71,27;436;31073,6;1230285,6;72,24;1,82;
7;A;Diesel S-500;l;6,54;4356,64;28498,16;1258783,76;73,91;1,67;
8;A;Frete;un;18,37;1528;28066,46;1286850,22;75,56;1,65;
9;A;Diárias;un;270,4;88;23795,16;1310645,38;76,96;1,4;
10;A;DCTF;un;1714,09;13;22283,16;1332928,54;78,27;1,31;
11;A;Serviços Contábeis;un;1613,08;13;20970;1353898,54;79,5;1,23;
12;A;Peças de trator;un;20731;1;20731;1374629,54;80,72;1,22;
13;A;Manutenção em tratores;un;2003,15;9;18028,32;1392657,86;81,77;1,06;
14;A;Serviços com tratores;un;1683,87;8;13470,97;1406128,83;82,57;0,79;
15;A;Marmitas;un;542,54;20;10850,73;1416979,56;83,2;0,64;
16;A;FERTILIZANTE 00-23-00 COMIGO BG;ton;2669,03;4;10676,12;1427655,68;83,83;0,63;
17;A;FERTILIZANTE 30-00-20 COMIGO BG;ton;3476,4;3;10429,2;1438084,88;84,44;0,61;
18;A;Comissões;un;442,61;23;10180;1448264,88;85,04;0,6;
19;A;Exames;un;5005,6;2;10011,2;1458276,08;85,63;0,59;
20;A;Viagens;un;241,02;41;9881,97;1468158,05;86,21;0,58;
21;A;RAÇÃO BOV. PRE-PARTO F. 30KG;un;89,64;110;9860,5;1478018,55;86,79;0,58;
22;A;Cocho;un;250;36;9000;1487018,55;87,32;0,53;
23;A;Manutenção na ordenha;un;1123,08;8;8984,6;1496003,15;87,84;0,53;
24;A;Diesel S-10;l;10,55;795,63;8397,28;1504400,43;88,34;0,49;
25;A;SILO PLASTICO BPF 14X50;un;41,38;200;8276;1512676,43;88,82;0,49;
26;A;Empreitada;un;8000;1;8000;1520676,43;89,29;0,47;
27;A;Energia;kwh;865,85;7;6060,96;1526737,39;89,65;0,36;
28;A;SEBRAE - Reprodução Animal;un;5500;1;5500;1532237,39;89,97;0,32;
29;A;Licença Ambiental;un;5500;1;5500;1537737,39;90,29;0,32;
30;A;Seguro - Caminhonete;un;5220,42;1;5220,42;1542957,81;90,6;0,31;
31;A;Lactotropin 500mg;un;24,48;213;5214;1548171,81;90,91;0,31;
32;A;Gasolina;l;7,63;663,93;5064,27;1553236,08;91,2;0,3;
33;A;FGTS;un;384,69;13;5000,92;1558237;91,5;0,29;
34;A;Aplicação de Calcário;un;5000;1;5000;1563237;91,79;0,29;
35;A;Calcário Calcítico;ton;137;35;4795;1568032;92,07;0,28;
36;A;RAÇÃO BOV CORTE BEEF 21 AE F. 30KG;un;52,63;77;4052,82;1572084,82;92,31;0,24;
37;A;SUPLEMENTO MINERAL COMIGO RECRIA AGUAS / F5 30KG;un;98,14;40;3925,64;1576010,46;92,54;0,23;
38;A;RACAO BOV BEITE BEZ 1 P 30KG;un;69,06;55;3798,52;1579808,98;92,76;0,22;
39;A;SUPL MIN COMIGO COOPER REPROD 80;un;121,7;30;3651,02;1583460;92,98;0,21;
40;A;Manutenção em equipamentos e ferramentas;un;1206,33;3;3619;1587079;93,19;0,21;
41;A;Cocho - 2,10m;un;175;20;3500;1590579;93,4;0,21;
42;A;ARAME LISO BELVAL Z-700 1000M;un;577,42;6;3464,53;1594043,53;93,6;0,2;
43;A;Serviços de internet/câmeras;un;1650;2;3300;1597343,53;93,79;0,19;
44;A;Materiais Elétricos;un;3298,31;1;3298,31;1600641,84;93,99;0,19;
45;A;Etanol;l;4,46;675,73;3011,19;1603653,03;94,16;0,18;
46;A;Colostro Bovino Em Po 4.7 kg Brazil - BALDE;un;2965;1;2965;1606618,03;94,34;0,17;
47;A;Tributos;un;83,36;31;2584,31;1609202,34;94,49;0,15;
48;A;BOMBONA USADA 200LT PARTIDA (cocho de tambor);un;105,77;23;2432,71;1611635,05;94,63;0,14;
49;A;Software - IDEAGRI;un;330,3;7;2312,1;1613947,15;94,77;0,14;
50;A;TETEIRA HARMONY 22MM LS - P6/ C;un;383,48;6;2300,88;1616248,03;94,9;0,14;
51;A;BEBEDOURO SAMURAI PEC MIX 1500LT S/BOIA;un;2229;1;2229;1618477,03;95,03;0,13;
52;A;RACAO BOV. LEITE BEZ 2 F 30KG;un;64,27;32;2056,61;1620533,64;95,16;0,12;
53;A;TELA GALINHEIRO 1,50X50;un;5,12;400;2048;1622581,64;95,28;0,12;
54;A;RACAO TITUS ADULTO 15 KG;kg;95,73;20;1914,56;1624496,2;95,39;0,11;
55;A;Casqueamento;un;1793;1;1793;1626289,2;95,49;0,11;
56;A;HALOCUR 490 ML;un;854;2;1708;1627997,2;95,59;0,1;
57;A;CORAL RENDE MUITO LOC PM 16L;un;400;4;1600;1629597,2;95,69;0,09;
58;A;RESFUR 100ML;un;395;4;1580;1631177,2;95,78;0,09;
59;A;Materiais Hidráulicos;un;309,6;5;1548;1632725,2;95,87;0,09;
60;A;ELETRIFIC.SOLAR C/BAT.SM 70-B MONITOR;un;1539;1;1539;1634264,2;95,96;0,09;
61;A;Fabricação de Portas de Aço;un;1400;1;1400;1635664,2;96,04;0,08;
62;A;ICMS - DIFAL;un;43,64;32;1396,5;1637060,7;96,13;0,08;
63;A;Internet - Starlink;un;190;7;1330;1638390,7;96,2;0,08;
64;A;HAGEN;un;125;10;1250;1639640,7;96,28;0,07;
65;A;Bio Masty Espuma BB 20L (pré-dipping);un;415;3;1245;1640885,7;96,35;0,07;
66;A;SEMENTE MOMBAÇA SOESP 10KG VC 80%;kg;201,85;6;1211,1;1642096,8;96,42;0,07;
67;B;Visita - Reprodutivo - ALPHA/ABS;un;400;3;1200;1643296,8;96,49;0,07;
68;B;Gás de cozinha;l;133,33;9;1200;1644496,8;96,56;0,07;
69;B;TUBO DE LEITE DE BORRACHA 14,5mm P9/A;un;122;9;1098;1645594,8;96,63;0,06;
70;B;ALCALAN TOP (AGRO) - BB X 20L;un;265;4;1060;1646654,8;96,69;0,06;
71;B;EUCALIPTO TE 16 A 18X3,20M CBI (mourão);un;174,58;6;1047,48;1647702,28;96,75;0,06;
72;B;TUBO PVC 75 mm P/ LINHA DE VÁCUO 6 METROS;un;976;1;976;1648678,28;96,81;0,06;
73;B;TELA SOMBREAM 80% 4,20X50M;un;19,51;50;975,5;1649653,78;96,87;0,06;
74;B;TETEIRA ULTRALINER AL2U 1 ANEL;un;240;4;960;1650613,78;96,92;0,06;
75;B;CORAL BRILHO E PROTECAO LOC PM 16L;un;475;2;950;1651563,78;96,98;0,06;
76;B;Ferramentas;un;122,44;7;857,08;1652420,86;97,03;0,05;
77;B;BATERIA ECON TFS60D/E60DD-18 CCA425;un;427;2;854;1653274,86;97,08;0,05;
78;B;MANGUEIRA PVC TRANSFERÊNCIA DE LEITE 25X 35MM - P8;un;84,93;10;849,3;1654124,16;97,13;0,05;
79;B;PAPEL TOALHA 1000 X 1;un;16,34;50;816,8;1654940,96;97,18;0,05;
80;B;Assessoria Pecuária;un;811,78;1;811,78;1655752,74;97,22;0,05;
81;B;DOBRADICA QUADRADA N-03;un;88;9;792;1656544,74;97,27;0,05;
82;B;BIODIP MASTY - BB X 20L;un;390;2;780;1657324,74;97,32;0,05;
83;B;Mangueira Leite PVC - 14x25mm - P8/A e B;un;62,87;12;754,44;1658079,18;97,36;0,04;
84;B;Ganho de Capital;un;752,97;1;752,97;1658832,15;97,4;0,04;
85;B;BOMBA LAVADORA;un;750;1;750;1659582,15;97,45;0,04;
86;B;IOF;un;733,08;1;733,08;1660315,23;97,49;0,04;
87;B;MANGUEIRA LEITE PVC 16x27MM - P8/ A;un;69,3;10,2;706,86;1661022,09;97,53;0,04;
88;B;TUBO INOX 50 MM (BARRA DE 6M);un;700;1;700;1661722,09;97,57;0,04;
89;B;PNEU 175/70R13 KELLY EDGE TOURING 82T SL;un;349;2;698;1662420,09;97,61;0,04;
90;B;BOVICOR CREME 45 GR;un;115;6;690;1663110,09;97,66;0,04;
91;B;BOIA VALVULA ESFERICA 3/4";un;76,44;9;688;1663798,09;97,7;0,04;
92;B;Mastijet Forte (Seringa 8 g);un;24,5;28;686;1664484,09;97,74;0,04;
93;B;Bio Masty 5.000 BB 20L (pós-dipping);un;340;2;680;1665164,09;97,78;0,04;
94;B;GUINESS;un;34;20;680;1665844,09;97,82;0,04;
95;B;Transporte de Máquinas;un;650;1;650;1666494,09;97,85;0,04;
96;B;Manta Bidim 100m Reforço Impermeabilizante (Telhad;un;211,04;3;633,12;1667127,21;97,89;0,04;
97;B;ÁCIDO CLEAN (AGRO) - BB X 20L;un;310;2;620;1667747,21;97,93;0,04;
98;B;BOBES ZINCADO C/PINO;un;4,73;130;615;1668362,21;97,96;0,04;
99;B;Curva PVC 70mm 90 - P6/ Acima;un;122;5;610;1668972,21;98;0,04;
100;B;ZUPREVO 50ML;un;603;1;603;1669575,21;98,03;0,04;
101;B;BOMBA ALIMENTADORA ORIG.VMT 836666344;un;602;1;602;1670177,21;98,07;0,04;
102;B;Nitrogênio;l;200;3;600;1670777,21;98,11;0,04;
103;B;BORGAL FR. 50ML;un;68,53;8;548,2;1671325,41;98,14;0,03;
104;B;RACAO BOV CORTE BEEF 18 AE F 30KG;un;49,41;11;543,46;1671868,87;98,17;0,03;
105;B;MANGA EIXO ESQUERDO MF 3146771M91;un;523,62;1;523,62;1672392,49;98,2;0,03;
106;B;ALTA SCRATCH E PCT/50 VERMELHO;un;520;1;520;1672912,49;98,23;0,03;
107;B;MANGUEIRA DUPLA VÁCUO PVC 7,5x13,7 - P8/ C;un;49;10,2;499,8;1673412,29;98,26;0,03;
