Categoria;Número;Nome;Quantidade;Estoque mínimo;Unidade;Valor médio unitário;Valor total;LOCALARMAZENAMENTO;
Ingrediente para alimentação animal - Concentrados energéticos;1000140;RAÇÃO BOV. PRE-PARTO F. 30KG;35;5;un;19,363;677,7;;
Ingrediente para alimentação animal - Concentrados protéicos;1000142;RACAO BOV BEITE BEZ 1 P 30KG;55;3;un;69,064;3798,52;;
Ingrediente para alimentação animal - Concentrados protéicos;1000146;RACAO BOV CORTE BEEF 18 AE F 30KG;11;0;un;49,405;543,46;;
Ingrediente para alimentação animal - Concentrados protéicos;1000139;RAÇÃO BOV CORTE BEEF 21 AE F. 30KG;77;5;un;52,634;4052,82;;
Ingrediente para alimentação animal - Concentrados protéicos;1000141;RACAO BOV. LEITE BEZ 2 F 30KG;32;3;un;64,269;2056,61;;
Ingrediente para alimentação animal - Concentrados protéicos;1000144;RACAO MILK PROTEICO F 30KG;96696;10;un;0,312;30132,42;;
Ingrediente para alimentação animal - Concentrados protéicos;1000145;RACAO TECK MILK 24% S/U F 30KG;881383;20;un;0,106;93645,56;;
Ingrediente para alimentação animal - Minerais e aditivos;1000154;SUPL MIN COMIGO COOPER REPROD 80;30;3;un;121,701;3651,02;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;1000429;BANAMINE 100ML;1;1;un;245,000;245;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;1000197;BANAMINE 50ML;0,952;1;un;123,150;117,24;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;2766;D-500 (Frasco 50 ml);1,1;0;un;25,000;27,5;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;1000302;DESFLAN 50ML;2;0;un;57,000;114;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;2768;Flucortan (Frasco 10 ml);1;0;un;16,000;16;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;3480;Maxicam Injetável (2%) (Frasco 50 ml);3,49;1;un;104,304;364,02;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;2059;Naquasone Injetável (Frasco 10 ml);3;1;un;20,000;60;;
Produtos veterinários - Anti-inflamatórios, anti-piréticos, anti-alérgicos e analgésicos;1358;Terra-Cortril Spray (Tubo 75 g);0,5;0;un;77,000;38,5;;
Produtos veterinários - Anti-sépticos e desinfetantes;1341;Formoped (Tubo 188 g);0,5;0;un;77,000;38,5;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1091;Advocin 180 (Frasco 50 ml);0;1;un;0,000;0;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000165;AGEMOXI LA 100 ML;1;1;un;47,000;47;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;2381;Borgal (Frasco 10 ml);10,9;2;un;48,845;532,41;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000301;BORGAL FR. 50ML;9,66;1;un;45,693;441,39;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000214;CEF 50MG/ML SUS. INJ. 100 ML;6,95;1;un;54,673;379,98;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000172;GENTOPEN 20 MILHOES 30 ml;7;1;un;56,000;392;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000133;HALOCUR 490 ML;1,924;1;un;857,595;1650,01;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1607;Imizol Injetável (Frasco 15 ml);2;1;un;70,000;140;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000245;MASTI-SEAL 4G;16;4;un;11,000;176;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;3022;Mastifin (Seringa 10 ml);24;4;un;9,000;216;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;2426;Mastijet Forte (Seringa 8 g);26;5;un;18,489;480,71;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000478;Mastijet Vaca Seca;16;4;un;20,000;320;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;1000138;MASTITE CLÍNICA;36;3;un;15,612;562,04;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;2489;Metricure (Seringa 19 g);3;1;un;102,000;306;;
Produtos veterinários - Antimicrobianos gerais antifúngicos e antiprotozoários;3506;Micotil 300 Injetável (Frasco 50 ml);2,7;1;un;280,000;756;;
