Acompanhamento do fluxo de caixa
Data;Entradas;Saídas;Saldo diário;Saldo acumulado
01/12/25;214296,52;2707,18;211589,34;211589,34
24/12/25;22128,16;0;22128,16;233717,5
27/12/25;0;3880,65;-3880,65;229836,85
28/12/25;0;1000;-1000;228836,85
29/12/25;2000;133716,8;-131716,8;97120,05
30/12/25;0;8888;-8888;88232,05
31/12/25;0;2000;-2000;86232,05
01/01/26;0;100;-100;86132,05
02/01/26;0;200;-200;85932,05
05/01/26;11000;17699,69;-6699,69;79232,36
06/01/26;0;2971,38;-2971,38;76260,98
07/01/26;0;125,44;-125,44;76135,54
08/01/26;119859,62;19434,06;100425,56;176561,1
09/01/26;0;1793;-1793;174768,1
10/01/26;0;1359,78;-1359,78;173408,32
15/01/26;0;3925,2;-3925,2;169483,12
16/01/26;0;8382,5;-8382,5;161100,62
17/01/26;0;4360;-4360;156740,62
18/01/26;0;50;-50;156690,62
19/01/26;0;3667,48;-3667,48;153023,14
20/01/26;0;2898,86;-2898,86;150124,28
21/01/26;0;2631,1;-2631,1;147493,18
24/01/26;0;960,09;-960,09;146533,09
25/01/26;0;1095,32;-1095,32;145437,77
26/01/26;25526,4;66,05;25460,35;170898,12
27/01/26;0;300;-300;170598,12
28/01/26;0;1950,3;-1950,3;168647,82
31/01/26;0;350;-350;168297,82
01/02/26;420000;0;420000;588297,82
05/02/26;0;4075,02;-4075,02;584222,8
06/02/26;0;5266,12;-5266,12;578956,68
07/02/26;0;34769,39;-34769,39;544187,29
09/02/26;0;300;-300;543887,29
10/02/26;0;1000;-1000;542887,29
11/02/26;0;300;-300;542587,29
12/02/26;0;77,47;-77,47;542509,82
13/02/26;0;4879,66;-4879,66;537630,16
14/02/26;0;595,19;-595,19;537034,97
15/02/26;0;3977,82;-3977,82;533057,15
16/02/26;0;480,69;-480,69;532576,46
19/02/26;0;3850;-3850;528726,46
20/02/26;0;5786;-5786;522940,46
21/02/26;0;5781,6;-5781,6;517158,86
25/02/26;29902,54;4180;25722,54;542881,4
27/02/26;0;1730,3;-1730,3;541151,1
28/02/26;0;190;-190;540961,1
01/03/26;0;2443,9;-2443,9;538517,2
02/03/26;0;2394,33;-2394,33;536122,87
05/03/26;0;17694,04;-17694,04;518428,83
06/03/26;0;6289,61;-6289,61;512139,22
07/03/26;0;951,41;-951,41;511187,81
08/03/26;0;2027;-2027;509160,81
