Nº animal;Dt. nasc.;Idade em meses;Grupos atuais;Categoria completa;Categoria abreviada;Sit. rep.;DEL;Dt. últ. leite;Últ. CL (kg);Dt. penúlt. CL;Penúlt. CL (kg);Dt. antepenúlt. CL;Antepenúlt. CL (kg);Dias após últ. CL;Dt. últ. diag.;Diag.;
01;01/11/2024;19,9;12 - NOV. PRENHES 1;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;29/04/2026;Positivo;
02;25/10/2024;20,1;11 - RECRIA 2 (300 a 350 kg);Novilha gestante;Novilha ges.;Ges.;;;;;;;;;29/04/2026;Positivo;
03;27/02/2025;16;11 - RECRIA 2 (300 a 350 kg);Novilha vazia em atraso;Novilha vaz. atr.;Vaz. atr.;;;;;;;;;;;
03M;02/03/2026;4;09 - DESMAMA (100 a 160 kg);Bezerro macho em crescimento;Bezerro mac. cresc.;;;;;;;;;;;;
04;27/02/2025;16;11 - RECRIA 2 (300 a 350 kg);Novilha gestante;Novilha ges.;Ges.;;;;;;;;;03/07/2026;Positivo;
05M;25/04/2026;2,2;09 - DESMAMA (100 a 160 kg);Bezerro mamando;Bezerro mam.;;;;;;;;;;;;
06;10/11/2024;19,6;12 - NOV. PRENHES 1;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;22/05/2026;Positivo;
068;28/02/2024;28;01 - NOV. ALTA;Vaca vazia apta em lactação;Vaca vaz. apt. lac.;Vaz. apt.;76;13/06/2026;22;18/05/2026;18;09/05/2026;14;20;15/08/2025;Positivo;
06M;20/05/2026;1,4;06 - BEZ 1 (0 A 30);Bezerro mamando;Bezerro mam.;;;;;;;;;;;;
070;28/02/2024;28;03 - Média,01 - NOV. ALTA;Vaca vazia pev em lactação;Vaca vaz. pev lac.;Vaz. pev;23;13/06/2026;11;;;;;20;15/08/2025;Positivo;
075;28/02/2024;28;03 - MÉDIA;Vaca vazia em atraso em lactação;Vaca vaz. atr. lac.;Vaz. atr.;131;13/06/2026;11;18/05/2026;10;09/05/2026;15;20;12/06/2026;Negativo;
07M;10/06/2026;0,7;06 - BEZ 1 (0 A 30);Bezerro mamando;Bezerro mam.;;;;;;;;;;;;
08;27/02/2025;16;11 - RECRIA 2 (300 a 350 kg);Novilha inseminada;Novilha ins.;Ins.;;;;;;;;;;;
08M;30/06/2026;0;06 - BEZ 1 (0 A 30),06 - BEZ 1 (0 A 30);Bezerro mamando;Bezerro mam.;;;;;;;;;;;;
09;27/02/2025;16;11 - RECRIA 2 (300 a 350 kg);Novilha vazia em atraso;Novilha vaz. atr.;Vaz. atr.;;;;;;;;;06/06/2026;Negativo;
090;01/11/2024;19,9;12 - NOV. PRENHES 1;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;29/04/2026;Positivo;
107;30/09/2024;21;12 - NOV. PRENHES 1;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;29/04/2026;Positivo;
108;01/06/2024;24,9;12 - NOV. PRENHES 1;Novilha vazia em atraso;Novilha vaz. atr.;Vaz. atr.;;;;;;;;;29/04/2026;Positivo;
113;01/05/2024;26;11 - RECRIA 2 (300 a 350 kg);Novilha gestante;Novilha ges.;Ges.;;;;;;;;;22/05/2026;Positivo;
1234;27/02/2024;28;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;26/05/2026;Positivo;
1245;17/03/2024;27,4;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;30/01/2026;Positivo;
1247;19/03/2024;27,4;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;09/04/2026;Positivo;
1258;29/04/2024;26;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;30/01/2026;Positivo;
126;28/02/2024;28;01 - NOV. ALTA;Vaca gestante em lactação;Vaca ges. lac.;Ges.;178;13/06/2026;22;18/05/2026;23;09/05/2026;22;20;22/05/2026;Positivo;
1260;10/05/2024;25,7;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;19/03/2026;Positivo;
1261;21/05/2024;25,3;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;09/04/2026;Positivo;
1262;23/05/2024;25,2;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;30/01/2026;Positivo;
1263;26/05/2024;25,1;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;26/02/2026;Positivo;
1264;27/05/2024;25,1;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;19/03/2026;Positivo;
127;28/02/2024;28;01 - NOV. ALTA;Vaca inseminada em lactação;Vaca ins. lac.;Ins.;123;13/06/2026;21;18/05/2026;18;09/05/2026;20;20;22/05/2026;Negativo;
1273;03/08/2024;22,9;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;26/02/2026;Positivo;
1274;14/08/2024;22,5;04 - PRÉ-PARTO;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;09/01/2026;Positivo;
1275;16/08/2024;22,4;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;30/01/2026;Positivo;
1276;22/08/2024;22,2;13 - NOV. HOLANDESAS;Novilha gestante;Novilha ges.;Ges.;;;;;;;;;26/02/2026;Positivo;
