NUMERO;NOME_RESUMIDO;RGD;RACA;DATA_LEITE;PESO_TOTAL_LEITE;DATA_ULTIMO_PARTO;DATA_BAIXA;
068;068;;Girolando;01/05/2026;11;18/04/2026;;
068;068;;Girolando;09/05/2026;14;18/04/2026;;
068;068;;Girolando;18/05/2026;18;18/04/2026;;
068;068;;Girolando;13/06/2026;22;18/04/2026;;
070;070;;Girolando;13/06/2026;11;10/06/2026;;
075;075;;Girolando;21/03/2026;18;22/02/2026;;
075;075;;Girolando;04/04/2026;22;22/02/2026;;
075;075;;Girolando;17/04/2026;17;22/02/2026;;
075;075;;Girolando;01/05/2026;16;22/02/2026;;
075;075;;Girolando;09/05/2026;15;22/02/2026;;
075;075;;Girolando;18/05/2026;10;22/02/2026;;
075;075;;Girolando;13/06/2026;11;22/02/2026;;
126;126;;Girolando;10/01/2026;11;06/01/2026;;
126;126;;Girolando;16/01/2026;17;06/01/2026;;
126;126;;Girolando;23/01/2026;20;06/01/2026;;
126;126;;Girolando;30/01/2026;22;06/01/2026;;
126;126;;Girolando;18/02/2026;20;06/01/2026;;
126;126;;Girolando;21/03/2026;20;06/01/2026;;
126;126;;Girolando;04/04/2026;22;06/01/2026;;
126;126;;Girolando;17/04/2026;20;06/01/2026;;
126;126;;Girolando;01/05/2026;21;06/01/2026;;
126;126;;Girolando;09/05/2026;22;06/01/2026;;
126;126;;Girolando;18/05/2026;23;06/01/2026;;
126;126;;Girolando;13/06/2026;22;06/01/2026;;
127;127;;Girolando;21/03/2026;18;02/03/2026;;
127;127;;Girolando;04/04/2026;16;02/03/2026;;
127;127;;Girolando;17/04/2026;15;02/03/2026;;
127;127;;Girolando;01/05/2026;16;02/03/2026;;
127;127;;Girolando;09/05/2026;20;02/03/2026;;
127;127;;Girolando;18/05/2026;18;02/03/2026;;
127;127;;Girolando;13/06/2026;21;02/03/2026;;
128;128;;Girolando;21/03/2026;14;02/03/2026;;
128;128;;Girolando;04/04/2026;18;02/03/2026;;
128;128;;Girolando;17/04/2026;15;02/03/2026;;
128;128;;Girolando;01/05/2026;14;02/03/2026;;
128;128;;Girolando;09/05/2026;17;02/03/2026;;
128;128;;Girolando;18/05/2026;13;02/03/2026;;
128;128;;Girolando;13/06/2026;7;02/03/2026;;
129;129;;Girolando;04/04/2026;11;27/03/2026;;
129;129;;Girolando;17/04/2026;17;27/03/2026;;
129;129;;Girolando;01/05/2026;16;27/03/2026;;
129;129;;Girolando;09/05/2026;21;27/03/2026;;
129;129;;Girolando;18/05/2026;21;27/03/2026;;
129;129;;Girolando;13/06/2026;25;27/03/2026;;
