Nº animal;Nome;Dt. nasc.;Sx;Raça;Dt. aplic.;Produto aplic.;Dose;Lote;Atividade;Obs. aplic.;
01;01;01/11/2024;F;Girolando;02/07/2026;IVERMECTINA O.F.MASTER L.P.4% 500ML;2;;;;
02;02;25/10/2024;F;Girolando;02/07/2026;IVERMECTINA O.F.MASTER L.P.4% 500ML;2;;;;
03;03;27/02/2025;F;Girolando;02/07/2026;IVERMECTINA O.F.MASTER L.P.4% 500ML;2;;;;
03;03;27/02/2025;F;Girolando;02/07/2026;VACINA RB 51 - FR 5 DS - 10ml;2;;;;
04;04;27/02/2025;F;Girolando;24/05/2026;ALTA SCRATCH E PCT/50 VERMELHO;0,5;;;;
04;04;27/02/2025;F;Girolando;02/07/2026;IVERMECTINA O.F.MASTER L.P.4% 500ML;2;;;;
06;06;10/11/2024;F;Girolando;02/07/2026;IVERMECTINA O.F.MASTER L.P.4% 500ML;2;;;;
068;068;28/02/2024;F;Girolando;05/05/2026;Borgal (Frasco 10 ml);40;;;;
068;068;28/02/2024;F;Girolando;05/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;05/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;06/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;06/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;07/05/2026;Borgal (Frasco 10 ml);40;;;;
068;068;28/02/2024;F;Girolando;07/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;07/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;08/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;08/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;09/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;09/05/2026;SPECTRAMAST LC;2;;;;
068;068;28/02/2024;F;Girolando;21/05/2026;VACINA BOVIGEN LEPTO 8 150ML - 50 DOSES;3;;;lepto;
068;068;28/02/2024;F;Girolando;21/06/2026;Lactotropin 500mg;1;;;;
068;068;28/02/2024;F;Girolando;02/07/2026;Lactotropin 500mg;1;;;;
075;075;28/02/2024;F;Girolando;24/02/2026;Micotil 300 Injetável (Frasco 50 ml);15;;;;
075;075;28/02/2024;F;Girolando;18/04/2026;BORGAL FR. 50ML;40.00;;;intoxicação;
075;075;28/02/2024;F;Girolando;18/04/2026;Cortiflan 50 ml;15.00;;;intoxicação;
075;075;28/02/2024;F;Girolando;18/04/2026;Mercepton (Frasco 100 ml);50.00;;;intoxicação;
075;075;28/02/2024;F;Girolando;03/05/2026;Lactotropin 500mg;1;;;;
075;075;28/02/2024;F;Girolando;15/05/2026;Lactotropin 500mg;1;;;;
075;075;28/02/2024;F;Girolando;21/05/2026;VACINA BOVIGEN LEPTO 8 150ML - 50 DOSES;3;;;lepto;
075;075;28/02/2024;F;Girolando;24/05/2026;ALTA SCRATCH E PCT/50 VERMELHO;0,5;;;;
075;075;28/02/2024;F;Girolando;27/05/2026;Lactotropin 500mg;1;;;;
075;075;28/02/2024;F;Girolando;08/06/2026;Lactotropin 500mg;1;;;;
075;075;28/02/2024;F;Girolando;02/07/2026;Lactotropin 500mg;1;;;;
075;075;28/02/2024;F;Girolando;03/07/2026;Estron 60ml;2;;;PGF p/ cio;
